latitude,longitude,country_name,country_code,region_code,city,cve_id,epss,cvss_version
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-1176,0.01299,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2011-2688,0.02343,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-3526,0.03054,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4001,0.00365,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4001,0.00365,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4001,0.00365,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4001,0.00365,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4360,0.0058,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4360,0.0058,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4360,0.0058,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4360,0.0058,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2012-4360,0.0058,2
